Industry,"Corr(EPS surprise, return)",,,"Corr(EPS surprise, return)",,Industry,"Corr(EPS surprise, return)"
Diversified,-0.5,,Stock,0.195391,,Health Care,0.170750
Energy,0.011672,,Cash,0.112991,,Energy,0.189915
Utilities,0.057848,,Cash and Stock,0.178085,,n/a,0.202246
"Consumer, Non-cyclical",0.070744,,Cash or Stock,0.095706,,Public Utilities,0.221317
Communications,0.141943,,,,,Transportation,0.261078
"Consumer, Cyclical",0.159801,,,,,Technology,0.264141
Basic Materials,0.16364,,,,,Miscellaneous,0.278165
Industrial,0.165568,,,,,Consumer Services,0.298805
Financial,0.207584,,,,,Basic Industries,0.311853
Technology,0.310322,,,,,Finance,0.348193
,,,,,,Consumer Durables,0.389989
,,,,,,Capital Goods,0.406951
,,,,,,Consumer Non-Durables,0.407607
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
